cas_no	generic_name	pediatric_excl_date	sponser	pediatric_indication	Notes	url	unii_no	indication	pharm_class	pharm_desc	hazard_statements
69655-05-6	Didanosine	8/13/01	Bristol-Myers	HIV-1 Infection		https://pubchem.ncbi.nlm.nih.gov/compound/135398739	K3GDH6OH08	For use, in combination with other antiretroviral agents, in the treatment of HIV-1 infection in adults.	Anti-HIV Agents	Agents used to treat AIDS and/or stop the spread of the HIV infection. These do not include drugs used to treat symptoms or opportunistic infections associated with AIDS. (See all compounds classified as Anti-HIV Agents.)	H315 (25%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (25%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (25%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H341 (75%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H372 (25%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]
23674-86-4	Difluprednate	3/21/13	Alcon	Post-operative inflammation following cataract surgery		https://pubchem.ncbi.nlm.nih.gov/compound/443936	S8A06QG2QE	For the treatment of inflammation and pain associated with ocular surgery.	Glucocorticoids	A group of CORTICOSTEROIDS that affect carbohydrate metabolism (GLUCONEOGENESIS, liver glycogen deposition, elevation of BLOOD SUGAR), inhibit ADRENOCORTICOTROPIC HORMONE secretion, and possess pronounced anti-inflammatory activity. They also play a role in fat and protein metabolism, maintenance of arterial blood pressure, alteration of the connective tissue response to injury, reduction in the number of circulating lymphocytes, and functioning of the central nervous system. (See all compounds classified as Glucocorticoids.)	H302+H312+H332 (25%): Harmful if swallowed, in contact with skin or if inhaled [Warning Acute toxicity, oral; acute toxicity, dermal; acute toxicity, inhalation]; H360 (25%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (50%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H373 (50%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]
76584-70-8	Divalproex	12/14/07	Abbott	Migraine, Bipolar disorder, Epilepsy		https://pubchem.ncbi.nlm.nih.gov/compound/23663956	644VL95AO6		Antimanic Agents	Agents that are used to treat bipolar disorders or mania associated with other affective disorders. (See all compounds classified as Antimanic Agents.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (97.78%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H360 (97.78%): May damage fertility or the unborn child [Danger Reproductive toxicity]
114977-28-5	Docetaxel	3/17/10	Sanofi Aventis	Solid Tumors		https://pubchem.ncbi.nlm.nih.gov/compound/148124	15H5577CQD	Docetaxel is indicated as a single agent for the treatment of locally advanced or metastatic breast cancer after chemotherapy failure; and with doxorubicin and cyclophosphamide as adjuvant treatment of operable node-positive BC. It is also indicated as a single agent for locally advanced or metastatic non-small cell lung cancer (NSCLC) after platinum therapy failure; and with cisplatin for unresectable, locally advanced or metastatic untreated NSCLC. For the treatment of metastatic castration-resistant prostate cancer, docetaxel is indicated with prednisone. Docetaxel is also indicated with cisplatin and fluorouracil for untreated, advanced gastric adenocarcinoma, including the gastroesophageal junction, and with cisplatin and fluorouracil for induction treatment of locally advanced squamous cell carcinoma of the head and neck (SCCHN).	Tubulin Modulators	Agents that interact with TUBULIN to inhibit or promote polymerization of MICROTUBULES. (See all compounds classified as Tubulin Modulators.)	H319 (63.64%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H341 (81.82%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H351 (18.18%): Suspected of causing cancer [Warning Carcinogenicity]; H360 (36.36%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (54.55%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H362 (18.18%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H372 (63.64%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]
120279-96-1	Dorzolamide	1/5/04	Merck	Reduction in intraocular pressure  		https://pubchem.ncbi.nlm.nih.gov/compound/5284549	9JDX055TW1	Dorzolamide is indicated for the management of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma. It can also be used in combination with [timolol] for the same indication in patients who are insufficiently responsive to ophthalmic beta-blockers.  Its pre-operative use was also investigated to prevent elevated intraocular pressure after neodynium yttrium aluminum garnet laser posterior capsulotomy.	Carbonic Anhydrase Inhibitors	A class of compounds that reduces the secretion of H+ ions by the proximal kidney tubule through inhibition of CARBONIC ANHYDRASES. (See all compounds classified as Carbonic Anhydrase Inhibitors.)	H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]
	Dulaglutide 	10/4/22	Eli Lilly	treatment of type 2 diabetes mellitus in pediatric patients aged 10 to less than 18 years old							
116539-59-4	Duloxetine	7/2/12	Eli Lilly	Major depressive disorder (MDD)		https://pubchem.ncbi.nlm.nih.gov/compound/60835	O5TNM5N07U	**Indicated** for:  1) Management of Major Depressive Disorder.  2) Management of Generalized Anxiety Disorder.  3) Management of diabetic peripheral neuropathy.  4) Management of fibromyalgia.  5) Management of chronic musculoskeletal pain.  6) Management of osteoarthritis of the knee in adults.  7) Management of chronic lower back pain in adults.  8) Management of stress urinary incontinence in adult women.  **Off-label** uses include:  1) Management of chemotherapy-induced peripheral neuropathy.  2) Management of stress urinary incontinence in adult men after prostatectomy until recovery is complete.	Serotonin and Noradrenaline Reuptake Inhibitors	Drugs that selectively block or suppress the plasma membrane transport of SEROTONIN and NORADRENALINE into axon terminals and are used as ANTIDEPRESSIVE AGENTS. (See all compounds classified as Serotonin and Noradrenaline Reuptake Inhibitors.)	H351 (100%): Suspected of causing cancer [Warning Carcinogenicity]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H225: Highly Flammable liquid and vapor [Danger Flammable liquids]; H301: Toxic if swallowed [Danger Acute toxicity, oral]; H311: Toxic in contact with skin [Danger Acute toxicity, dermal]; H331: Toxic if inhaled [Danger Acute toxicity, inhalation]; H370: Causes damage to organs [Danger Specific target organ toxicity, single exposure]
154598-52-4	Efavirenz	1/29/13	BMS	HIV-1 Infection		https://pubchem.ncbi.nlm.nih.gov/compound/64139	JE6H2O27P8	For use in combination treatment of HIV infection (AIDS)	Cytochrome P-450 CYP2C19 Inhibitors	Drugs and compounds which inhibit or antagonize the biosynthesis or actions of CYTOCHROME P-450 CYP2C19. (See all compounds classified as Cytochrome P-450 CYP2C19 Inhibitors.)	H302 (51.14%): Harmful if swallowed [Warning Acute toxicity, oral]; H319 (47.73%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H360 (47.73%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H372 (81.82%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H400 (90.91%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H410 (93.18%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]
	Eltrombopag	8/14/15	Novartis	Thrombocytopenia in children with chronic idiopathic thrombocytopenia purpura (ITP)		https://pubchem.ncbi.nlm.nih.gov/compound/135449332		Revolade is indicated for the treatment of adult patients with primary immune thrombocytopenia (ITP) who are refractory to other treatments (e. g. corticosteroids, immunoglobulins) (see sectionsÂ 4. 2 and 5. 1). Revolade is indicated for the treatment of paediatric patients aged 1Â year and above with primary immune thrombocytopenia (ITP) lasting 6Â months or longer from diagnosis and who are refractory to other treatments (e. g. corticosteroids, immunoglobulins) (see sectionsÂ 4. 2 and 5. 1). Revolade is indicated in adult patients with chronic hepatitisÂ C virus (HCV) infection for the treatment of thrombocytopenia, where the degree of thrombocytopenia is the main factor preventing the initiation or limiting the ability to maintain optimal interferon-based therapy (see sectionsÂ 4. 4 andÂ 5. 1). Revolade is indicated in adult patients with acquired severe aplastic anaemia (SAA) who were either refractory to prior immunosuppressive therapy or heavily pretreated and are unsuitable for haematopoietic stem cell transplantation (see sectionÂ 5. 1).			
	Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide	9/13/21	Gilead	HIV-1 Infection							
864070-44-0	empagliflozin	6/9/23	Boehringer Ingelheim Pharmaceuticals, Inc.	an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus (T2D) and to reduce the risk of cardiovascular death (CVD) in adult patients with T2D and established cardiovascular disease.		https://pubchem.ncbi.nlm.nih.gov/compound/11949646	HDC1R2M35U	Empagliflozin is indicated as an adjunct to diet and exercise to improve glycemic control in patients aged 10 years and older with type 2 diabetes. It is used either alone or in combination with [metformin] or [linagliptin]. It is also indicated to reduce the risk of cardiovascular death in adult patients with both type 2 diabetes mellitus and established cardiovascular disease, either alone or as a combination product with metformin.  An extended-release combination product containing empagliflozin, metformin, and linagliptin was approved by the FDA in January 2020 for the improvement of glycemic control in adults with type 2 diabetes mellitus when used adjunctively with diet and exercise.  Empagliflozin is also approved to reduce the risk of cardiovascular mortality and hospitalization due to heart failure in adult patients with heart failure, either alone or in combination with metformin. It is also indicated in adults to reduce the risk of sustained decline in eGFR, end-stage kidney disease, cardiovascular death, and hospitalization in adults with chronic kidney disease at risk of progression.  Empagliflozin is not approved for use in patients with type 1 diabetes.	Sodium-Glucose Transporter 2 Inhibitors	Compounds that inhibit SODIUM-GLUCOSE TRANSPORTER 2. They lower blood sugar by preventing the reabsorption of glucose by the kidney and are used in the treatment of TYPE 2 DIABETES MELLITUS. (See all compounds classified as Sodium-Glucose Transporter 2 Inhibitors.)	H302 (20%): Harmful if swallowed [Warning Acute toxicity, oral]; H361 (60%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H362 (20%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]
	empagliflozin and metformin hydrochloride	6/9/23	Boehringer Ingelheim Pharmaceuticals, Inc.	indicated to reduce the risk of CVD in adults with T2D.		https://pubchem.ncbi.nlm.nih.gov/compound/85364160					
143491-57-0	Emtricitabine	5/24/06	Gilead	HIV-1 Infection		https://pubchem.ncbi.nlm.nih.gov/compound/60877	G70B4ETF4S	Emtricitabine is indicated in combination with other medications for the treatment of HIV-1 infections; treatment of HIV-1 infections in pediatric patients 25-35kg, treatment of HIV-1 infections in adult patients ≥35kg, for pre exposure prophylaxis of HIV-1 in adolescent and adult patients excluding those who have receptive vaginal sex; treatment of HIV-1 infections in pediatric and adult patients ≥17kg, pre exposure prophylaxis in adolescents and adults ≥35kg; treatment of HIV-1 in patients ≥12 years and ≥35kg; treatment of HIV-1 in patients weighing ≥35kg; treatment of HIV-1 in patients weighing ≥25kg; and treatment of HIV-1 in patients weighing ≥40kg.	Anti-HIV Agents	Agents used to treat AIDS and/or stop the spread of the HIV infection. These do not include drugs used to treat symptoms or opportunistic infections associated with AIDS. (See all compounds classified as Anti-HIV Agents.)	Not Classified; Reported as not meeting GHS hazard criteria by 6 of 6 companies. For more detailed information, please visit  ECHA C&L website.
75847-73-3	Enalapril	2/2/00	Merck	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/5388962	69PN84IO1A	Indicated for the management of essential or renovascular hypertension as monotherapy or in combination with other antihypertensive agents, such as thiazide diuretics, for an additive effect.  Indicated for the treatment of symptomatic congestive heart failure, usually in combination with diuretics and digitalis.  Indicated for the management of asymptomatic left ventricular dysfunction in patients with an ejection fraction of ≤ to 35 percent to decrease the rate of development of overt heart failure and the incidence of hospitalization for heart failure.	Angiotensin-Converting Enzyme Inhibitors	A class of drugs whose main indications are the treatment of hypertension and heart failure. They exert their hemodynamic effect mainly by inhibiting the renin-angiotensin system. They also modulate sympathetic nervous system activity and increase prostaglandin synthesis. They cause mainly vasodilation and mild natriuresis without affecting heart rate and contractility. (See all compounds classified as Angiotensin-Converting Enzyme Inhibitors.)	H302 (19.6%): Harmful if swallowed [Warning Acute toxicity, oral]; H318 (46.73%): Causes serious eye damage [Danger Serious eye damage/eye irritation]; H319 (23.62%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H360 (24.62%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (36.68%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H362 (14.57%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H372 (18.59%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H317 (100%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
142217-69-4	Entecavir	12/5/13	BMS	Chronic Hepatitis B Virus Infection		https://pubchem.ncbi.nlm.nih.gov/compound/135398508	5968Y6H45M	For the treatment of chronic hepatitis B virus infection in adults with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease.	Antiviral Agents	Agents used in the prophylaxis or therapy of VIRUS DISEASES. Some of the ways they may act include preventing viral replication by inhibiting viral DNA polymerase; binding to specific cell-surface receptors and inhibiting viral penetration or uncoating; inhibiting viral protein synthesis; or blocking late stages of virus assembly. (See all compounds classified as Antiviral Agents.)	
107724-20-9	Eplerenone	10/24/07	Pfizer	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/443872	6995V82D0B	For improvement of survival of stable patients with left ventricular systolic dysfunction (ejection fraction <40%) and clinical evidence of congestive heart failure after an acute myocardial infarction.	Mineralocorticoid Receptor Antagonists	Drugs that bind to and block the activation of MINERALOCORTICOID RECEPTORS by MINERALOCORTICOIDS such as ALDOSTERONE. (See all compounds classified as Mineralocorticoid Receptor Antagonists.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H312 (100%): Harmful in contact with skin [Warning Acute toxicity, dermal]; H317 (100%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H332 (100%): Harmful if inhaled [Warning Acute toxicity, inhalation]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
441045-17-6	Eribulin Mesylate	8/9/22	Eisai Inc.	metatastic breast cancer and unresectable or metastatic liposacoma 		https://pubchem.ncbi.nlm.nih.gov/compound/17755248	AV9U0660CW				H341 (100%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]
183321-74-6	Erlotinib	3/18/15	OSI Pharmaceuticals	Cancer (recurrent ependymoma)		https://pubchem.ncbi.nlm.nih.gov/compound/176870	J4T82NDH7E	Erlotinib is indicated for:  - The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations.   - In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer.  The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy.	Antineoplastic Agents	Substances that inhibit or prevent the proliferation of NEOPLASMS. (See all compounds classified as Antineoplastic Agents.)	H302 (25%): Harmful if swallowed [Warning Acute toxicity, oral]; H351 (75%): Suspected of causing cancer [Warning Carcinogenicity]; H411 (16.67%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H413 (75%): May cause long lasting harmful effects to aquatic life [Hazardous to the aquatic environment, long-term hazard]
153832-46-3	Ertapenem	2/11/05	Merck	Meningitis; hospital acquired pneumonia, intra-abdominal infection, or acute pelvic infection; CAP, cUTI, or skin and soft tissue infection		https://pubchem.ncbi.nlm.nih.gov/compound/150610	G32F6EID2H	Ertapenem is indicated to treat the following moderate to severe infections caused by susceptible bacteria in adult and pediatric patients (three months of age and older):  - Complicated intra-abdominal infections. - Complicated skin and skin structure infections, including diabetic foot infections without osteomyelitis. - Community-acquired pneumonia. - Complicated urinary tract infections, including pyelonephritis. - Acute pelvic infections, including postpartum endomyometritis, septic abortion and post-surgical gynecologic infections. - Acute gynecological infections.  Ertapenem is also used in adults for the prophylaxis of surgical site infection following elective colorectal surgery.	Anti-Bacterial Agents	Substances that inhibit the growth or reproduction of BACTERIA. (See all compounds classified as Anti-Bacterial Agents.)	H334 (97.22%): May cause allergy or asthma symptoms or breathing difficulties if inhaled [Danger Sensitization, respiratory]; H400 (97.22%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H411 (97.22%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
81147-92-4	Esmolol	8/22/03	Baxter	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/59768	MDY902UXSR	For the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable. Also used in noncompensatory sinus tachycardia where the rapid heart rate requires specific intervention.	Adrenergic beta-1 Receptor Antagonists	Drugs that bind to and block the activation of ADRENERGIC BETA-1 RECEPTORS. (See all compounds classified as Adrenergic beta-1 Receptor Antagonists.)	H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]
119141-88-7	Esomeprazole	5/1/09	AstraZeneca	Treatment of gastroesophageal reflux disease (GERD)	A second period of Pediatric Exclusivity was granted for this moiety.	https://pubchem.ncbi.nlm.nih.gov/compound/9568614	N3PA6559FT	Esomeprazole is indicated for the treatment of acid-reflux disorders including healing and maintenance of erosive esophagitis, and symptomatic gastroesophageal reflux disease (GERD), peptic ulcer disease, H. pylori eradication, prevention of gastrointestinal bleeds with NSAID use, and for the long-term treatment of pathological hypersecretory conditions including Zollinger-Ellison Syndrome.	Proton Pump Inhibitors	Compounds that inhibit H(+)-K(+)-EXCHANGING ATPASE. They are used as ANTI-ULCER AGENTS and sometimes in place of HISTAMINE H2 ANTAGONISTS for GASTROESOPHAGEAL REFLUX. (See all compounds classified as Proton Pump Inhibitors.)	H312 (100%): Harmful in contact with skin [Warning Acute toxicity, dermal]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H317 (100%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H412 (100%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H302 (83.33%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (33.33%): Causes skin irritation [Warning Skin corrosion/irritation]; H317 (58.33%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H319 (91.67%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (25%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H411 (58.33%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H412 (16.67%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
138729-47-2	Eszopiclone	6/29/12	Sunovion	Insomnia in children with ADHD		https://pubchem.ncbi.nlm.nih.gov/compound/969472	UZX80K71OE	Eszopiclone is indicated for the treatment of insomnia.	Hypnotics and Sedatives	Drugs used to induce drowsiness or sleep or to reduce psychological excitement or anxiety. (See all compounds classified as Hypnotics and Sedatives.)	H300 (16.67%): Fatal if swallowed [Danger Acute toxicity, oral]; H302+H312+H332 (33.33%): Harmful if swallowed, in contact with skin or if inhaled [Warning Acute toxicity, oral; acute toxicity, dermal; acute toxicity, inhalation]; H302 (83.33%): Harmful if swallowed [Warning Acute toxicity, oral]; H312 (83.33%): Harmful in contact with skin [Warning Acute toxicity, dermal]; H315 (83.33%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (83.33%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H332 (83.33%): Harmful if inhaled [Warning Acute toxicity, inhalation]; H335 (50%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H361 (83.33%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H411 (16.67%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
41340-25-4	Etodolac	12/6/99	Wyeth Ayerst	Juvenile Rheum/Arthritis		https://pubchem.ncbi.nlm.nih.gov/compound/3308	2M36281008	For acute and long-term management of signs and symptoms of osteoarthritis and rheumatoid arthritis, as well as for the management of pain.	Cyclooxygenase 2 Inhibitors	A subclass of cyclooxygenase inhibitors with specificity for CYCLOOXYGENASE-2. (See all compounds classified as Cyclooxygenase 2 Inhibitors.)	H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]; H319 (89.8%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H361 (10.2%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
269055-15-4	Etravirine	6/21/18	Janssen	HIV-1 infection		https://pubchem.ncbi.nlm.nih.gov/compound/193962	0C50HW4FO1	Etravirine is indicated, in combination with other antiretroviral agents, for the treatment of HIV-1 infection in treatment-experienced patients ≥2 years of age.	Reverse Transcriptase Inhibitors	Inhibitors of reverse transcriptase (RNA-DIRECTED DNA POLYMERASE), an enzyme that synthesizes DNA on an RNA template. (See all compounds classified as Reverse Transcriptase Inhibitors.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H319 (77.78%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H400 (77.78%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H413 (77.78%): May cause long lasting harmful effects to aquatic life [Hazardous to the aquatic environment, long-term hazard]
159351-69-6	Everolimus	7/10/12	Novartis	Tuberous sclerosis complex (TSC) who have subependymal giant cell astrocytoma (SEGA)		https://pubchem.ncbi.nlm.nih.gov/compound/6442177	9HW64Q8G6G	Everolimus is indicated for the treatment of postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer (advanced HR+ BC) in combination with exemestane, after failure of treatment with letrozole or anastrozole. Indicated for the treatment of adult patients with progressive neuroendocrine tumors of pancreatic origin (PNET) with unresectable, locally advanced or metastatic disease. Indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of treatment with sunitinib or sorafenib. Indicated for the treatment of adult patients with renal angiomyolipoma and tuberous sclerosis complex (TSC), not requiring immediate surgery. Indicated in pediatric and adult patients with tuberous sclerosis complex (TSC) for the treatment of subependymal giant cell astrocytoma (SEGA) that requires therapeutic intervention but cannot be curatively resected.	MTOR Inhibitors	Agents that inhibit the activity of TOR SERINE-THREONINE KINASES. (See all compounds classified as MTOR Inhibitors.)	H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H412 (33.6%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H372: Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H402: Harmful to aquatic life [Hazardous to the aquatic environment, acute hazard]; H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
141758-74-9	Exenatide	4/1/21	AstraZeneca	Type 2 diabetes mellitus		https://pubchem.ncbi.nlm.nih.gov/compound/45588096		Exenatide is indicated as an adjunct to diet and exercise to improve glycemic control in patients with type 2 diabetes. An extended-release formulation is available which is indicated in patients ≥10 years old, while the immediate-acting formulation is approved only for adult patients.	Anti-Obesity Agents	Agents that increase energy expenditure and weight loss by neural and metabolic regulation. (See all compounds classified as Anti-Obesity Agents.)	H302 (33.33%): Harmful if swallowed [Warning Acute toxicity, oral]; H351 (66.67%): Suspected of causing cancer [Warning Carcinogenicity]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
163222-33-1	Ezetimibe	2/14/08	MSP Singapore	Heterozygous familial hypercholesterolemia		https://pubchem.ncbi.nlm.nih.gov/compound/150311	EOR26LQQ24	Ezetimibe is indicated to reduce elevated total-C, LDL-C, Apo B, and non-HDL-C in patients with primary hyperlipidemia, alone or in combination with an HMG-CoA reductase inhibitor (statin). It is also indicated to reduce elevated total-C, LDL-C, Apo B, and non-HDL-C in patients with mixed hyperlipidemia in combination with fenofibrate, and to reduce elevated total-C and LDL-C in patients with homozygous familial hypercholesterolemia (HoFH), in combination with atorvastatin or simvastatin. Ezetimibe may also be used to reduce elevated sitosterol and campesterol in patients with homozygous sitosterolemia (phytosterolemia).	Anticholesteremic Agents	Substances used to lower plasma cholesterol levels. (See all compounds classified as Anticholesteremic Agents.)	H410 (85.04%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]
104227-87-4	Famciclovir	9/21/09	Novartis	Treatment of children 1 month Ð 12 years of age w/ herpes simplex (HSV) & 1 Ð 12 years w/ varicella zoster (VSV)		https://pubchem.ncbi.nlm.nih.gov/compound/3324	QIC03ANI02	For the treatment of acute herpes zoster (shingles). Also for the treatment or suppression of recurrent genital herpes in immunocompetent patients and treatment of recurrent mucocutaneous herpes simplex infections in HIV infected patients.	Nucleic Acid Synthesis Inhibitors	Compounds that inhibit cell production of DNA or RNA. (See all compounds classified as Nucleic Acid Synthesis Inhibitors.)	H319 (50%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H341 (25%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H351 (25%): Suspected of causing cancer [Warning Carcinogenicity]; H360 (50%): May damage fertility or the unborn child [Danger Reproductive toxicity]
76824-35-6	Famotidine	11/21/00	Merck	Gastro-esophageal reflux		https://pubchem.ncbi.nlm.nih.gov/compound/5702160	5QZO15J2Z8	Famotidine is indicated in pediatric and adult patients (with the bodyweight of 40 kg and above) for the management of active duodenal ulcer (DU), active gastric ulcer, symptomatic non-erosive gastroesophageal reflux disease (GERD), and erosive esophagitis due to GERD, diagnosed by biopsy.  It is also indicated in adult patients for the treatment of pathological hypersecretory conditions (e.g., Zollinger-Ellison Syndrome, multiple endocrine neoplasias) and reduction of the risk of DU recurrence.  The intravenous formulation of famotidine is available for some hospitalized patients with pathological hypersecretory conditions or intractable ulcers or as an alternative to the oral dosage form for short-term use in patients who are unable to take oral medication.  Over-the-counter famotidine is used for the management and prevention of heartburn caused by gastroesophageal reflux in children and adults. Off-label uses of famotidine include the reduction of NSAIDs-associated gastrointestinal effects, treatment of refractory urticarial, prevention of stress ulcer in critically-ill patients, and symptomatic relief of gastritis.	Anti-Ulcer Agents	Various agents with different action mechanisms used to treat or ameliorate PEPTIC ULCER or irritation of the gastrointestinal tract. This has included ANTIBIOTICS to treat HELICOBACTER INFECTIONS; HISTAMINE H2 ANTAGONISTS to reduce GASTRIC ACID secretion; and ANTACIDS for symptomatic relief. (See all compounds classified as Anti-Ulcer Agents.)	H302 (66.38%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (75%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (68.1%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H332 (21.55%): Harmful if inhaled [Warning Acute toxicity, inhalation]; H335 (65.52%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]
